UID,N,ADEP,ADES,START,STOP,ARR,RWY
0101db-MSR777-2021-03-09-0,2051,NA,EGLL,2021-03-09T09:37:45Z,2021-03-09T12:28:21Z,TRUE,27R
0101db-MSR778-2021-03-09-0,1766,EGLL,NA,2021-03-09T13:56:49Z,2021-03-09T17:39:20Z,FALSE,NA
040170-ETH700-2021-03-09-0,2200,NA,EGLL,2021-03-09T03:55:57Z,2021-03-09T06:26:59Z,TRUE,27R
040170-ETH701-2021-03-09-0,1822,EGLL,NA,2021-03-09T20:16:49Z,2021-03-09T22:41:52Z,FALSE,NA
04c119-KQA2148-2021-03-09-0,2182,HKJK,EGLL,2021-03-09T04:18:18Z,2021-03-09T06:49:56Z,TRUE,27R
04c119-KQA2148-2021-03-09-1,1935,EGLL,EDDF,2021-03-09T12:32:37Z,2021-03-09T13:44:59Z,FALSE,NA
04c15b-KQA100-2021-03-09-0,2215,HKJK,EGLL,2021-03-09T12:32:50Z,2021-03-09T15:06:55Z,TRUE,27R
04c15b-KQA101-2021-03-09-0,1773,EGLL,HKJK,2021-03-09T17:28:43Z,2021-03-09T19:46:32Z,FALSE,NA
06a063-QTR5YK-2021-03-09-0,1774,EGLL,OTHH,2021-03-09T07:37:15Z,2021-03-09T10:59:59Z,FALSE,NA
06a1be-QTR5CF-2021-03-09-0,2206,OTHH,EGLL,2021-03-09T15:49:05Z,2021-03-09T19:56:07Z,TRUE,27R
06a1bf-QTR7GU-2021-03-09-0,1782,EGLL,OTHH,2021-03-09T08:43:01Z,2021-03-09T12:08:42Z,FALSE,NA
06a1bf-QTR9VT-2021-03-09-0,2269,OTHH,EGLL,2021-03-09T02:07:09Z,2021-03-09T06:12:59Z,TRUE,27R
06a2c4-QTR4LA-2021-03-09-0,2226,OTHH,EGLL,2021-03-09T09:18:20Z,2021-03-09T13:29:25Z,TRUE,27R
06a2c4-QTR8UC-2021-03-09-0,1802,EGLL,OTHH,2021-03-09T15:37:10Z,2021-03-09T18:59:59Z,FALSE,NA
06a2c6-QTR3EM-2021-03-09-0,2163,OTHH,EGLL,2021-03-09T08:16:37Z,2021-03-09T12:21:28Z,TRUE,27R
06a2c6-QTR6KG-2021-03-09-0,1769,EGLL,OTHH,2021-03-09T14:13:04Z,2021-03-09T17:36:52Z,FALSE,NA
06a2e6-QTR12G-2021-03-09-0,1751,EGLL,OTHH,2021-03-09T20:42:20Z,2021-03-09T23:59:59Z,FALSE,NA
06a2e6-QTR1LP-2021-03-09-0,2137,OTHH,EGLL,2021-03-09T15:13:43Z,2021-03-09T19:14:56Z,TRUE,27R
06a2e7-QTR8864-2021-03-09-0,2094,OTHH,EGLL,2021-03-09T07:13:35Z,2021-03-09T11:11:44Z,TRUE,27R
06a2e7-QTR8865-2021-03-09-0,1973,EGLL,EIDW,2021-03-09T12:36:01Z,2021-03-09T13:23:29Z,FALSE,NA
06e010-RWD700-2021-03-09-0,2470,NA,EGLL,2021-03-09T07:42:20Z,2021-03-09T09:58:26Z,TRUE,27R
06e010-RWD701-2021-03-09-0,2382,EGLL,EBMB,2021-03-09T12:59:35Z,2021-03-09T13:39:16Z,FALSE,NA
34520c-IBE31BY-2021-03-09-0,2520,LEMD,EGLL,2021-03-09T06:59:29Z,2021-03-09T08:51:50Z,TRUE,27R
34520c-IBE31TW-2021-03-09-0,1829,EGLL,LEMD,2021-03-09T11:08:09Z,2021-03-09T12:50:34Z,FALSE,NA
346456-IBE31GY-2021-03-09-0,2762,LEMD,EGLL,2021-03-09T15:19:04Z,2021-03-09T17:18:58Z,TRUE,NA
346456-IBE31WK-2021-03-09-0,1767,EGLL,LEMD,2021-03-09T19:10:36Z,2021-03-09T20:49:11Z,FALSE,NA
392aee-AFR15AD-2021-03-09-0,2699,EGLL,LFPG,2021-03-09T11:49:03Z,2021-03-09T12:34:01Z,FALSE,NA
392aee-AFR15NP-2021-03-09-0,2290,LFPG,EGLL,2021-03-09T09:54:38Z,2021-03-09T10:32:47Z,TRUE,27R
3950c8-AFR128R-2021-03-09-0,2708,LFPG,EGLL,2021-03-09T15:44:44Z,2021-03-09T16:29:51Z,TRUE,27R
3950c8-AFR12WC-2021-03-09-0,2914,EGLL,LFPG,2021-03-09T17:39:05Z,2021-03-09T18:27:38Z,FALSE,NA
3950c8-AFR13YD-2021-03-09-0,2411,LFPG,EGLL,2021-03-09T20:39:08Z,2021-03-09T21:19:19Z,TRUE,27R
3991ea-AFR10SY-2021-03-09-0,2562,EGLL,LFPG,2021-03-09T06:39:47Z,2021-03-09T07:22:28Z,FALSE,NA
3c5427-BCS2665-2021-03-09-0,2288,EGLL,EBMB,2021-03-09T22:56:18Z,2021-03-09T23:34:51Z,FALSE,NA
3c5427-BCS6773-2021-03-09-0,2287,LPPR,EGLL,2021-03-09T19:30:31Z,2021-03-09T20:33:12Z,TRUE,27R
3c5432-BCS2217-2021-03-09-0,1865,EGLL,EDDP,2021-03-09T23:05:29Z,2021-03-09T23:59:59Z,FALSE,NA
3c5432-BCS35P-2021-03-09-0,2196,LIMC,EGLL,2021-03-09T19:09:00Z,2021-03-09T20:36:07Z,TRUE,27R
3c65cb-DLH1CK-2021-03-09-0,2273,EDDF,EGLL,2021-03-09T07:19:50Z,2021-03-09T08:32:48Z,TRUE,27R
3c65cb-DLH3LX-2021-03-09-0,1852,EGLL,EDDF,2021-03-09T09:47:00Z,2021-03-09T10:58:29Z,FALSE,NA
3c65ce-DLH4CR-2021-03-09-0,2182,EDDF,EGLL,2021-03-09T15:29:33Z,2021-03-09T16:38:24Z,TRUE,27R
3c65ce-DLH5MA-2021-03-09-0,1818,EGLL,EDDF,2021-03-09T17:43:02Z,2021-03-09T18:50:55Z,FALSE,NA
4005ba-BAW33K-2021-03-09-0,2029,EGLL,KJFK,2021-03-09T16:32:31Z,2021-03-09T17:53:39Z,FALSE,NA
4005ba-BAW9150-2021-03-09-0,2370,OBBI,EGLL,2021-03-09T04:29:55Z,2021-03-09T07:04:56Z,TRUE,27R
4005c0-BAW82-2021-03-09-0,2092,NA,EGLL,2021-03-09T11:52:50Z,2021-03-09T14:04:29Z,TRUE,27R
400684-BAW9112-2021-03-09-0,1872,EGLL,OBBI,2021-03-09T08:45:54Z,2021-03-09T11:24:45Z,FALSE,NA
4007ec-BAW277-2021-03-09-0,1790,EGLL,NA,2021-03-09T15:44:47Z,2021-03-09T19:36:42Z,FALSE,NA
4007ef-BAW260-2021-03-09-0,2123,NA,EGLL,2021-03-09T09:38:53Z,2021-03-09T12:33:28Z,TRUE,27R
4007ef-BAW261-2021-03-09-0,1931,EGLL,NA,2021-03-09T18:36:15Z,2021-03-09T21:25:25Z,FALSE,NA
4007f4-BAW173-2021-03-09-0,2089,EGLL,KJFK,2021-03-09T11:57:56Z,2021-03-09T13:26:11Z,FALSE,NA
4007f5-BAW14K-2021-03-09-0,2441,KJFK,EGLL,2021-03-09T07:27:06Z,2021-03-09T08:47:42Z,TRUE,27R
4007f7-BAW60-2021-03-09-0,2198,NA,EGLL,2021-03-09T16:05:35Z,2021-03-09T18:36:10Z,TRUE,27R
400804-SHT9U-2021-03-09-0,2355,EGPH,EGLL,2021-03-09T09:34:26Z,2021-03-09T10:29:17Z,TRUE,27R
4008ad-SHT8A-2021-03-09-0,2005,EGLL,EGPH,2021-03-09T17:55:52Z,2021-03-09T18:48:38Z,FALSE,NA
400942-SHT8A-2021-03-09-0,2217,EGLL,EGLL,2021-03-09T15:46:20Z,2021-03-09T16:23:16Z,TRUE,27R
40095d-SHT19S-2021-03-09-0,2287,EGPD,EGLL,2021-03-09T06:51:21Z,2021-03-09T07:55:42Z,TRUE,27R
400980-SHT18F-2021-03-09-0,2108,EGLL,EGPD,2021-03-09T15:33:58Z,2021-03-09T16:44:35Z,FALSE,NA
400a0e-SHT7C-2021-03-09-0,2283,EGPF,EGLL,2021-03-09T09:26:58Z,2021-03-09T10:19:14Z,TRUE,27R
405bfe-BAW116-2021-03-09-0,2285,KJFK,EGLL,2021-03-09T06:07:54Z,2021-03-09T07:27:46Z,TRUE,27R
40621b-BAW268-2021-03-09-0,2444,KLAX,EGLL,2021-03-09T13:27:52Z,2021-03-09T14:48:53Z,TRUE,27R
40621b-BAW27-2021-03-09-0,1805,EGLL,VHHH,2021-03-09T19:38:38Z,2021-03-09T22:18:29Z,FALSE,NA
40621c-BAW54-2021-03-09-0,2332,NA,EGLL,2021-03-09T17:44:57Z,2021-03-09T19:58:54Z,TRUE,27R
40621d-BAW168-2021-03-09-0,2114,NA,EGLL,2021-03-09T12:41:59Z,2021-03-09T15:31:56Z,TRUE,27R
40624e-BAW9271-2021-03-09-0,2425,LEPA,EGLL,2021-03-09T10:12:03Z,2021-03-09T12:19:21Z,TRUE,27R
4063e6-VIR505-2021-03-09-0,2677,EGLL,EBBR,2021-03-09T16:31:35Z,2021-03-09T17:16:11Z,FALSE,NA
4063e6-VIR506-2021-03-09-0,2473,EBMB,EGLL,2021-03-09T19:24:34Z,2021-03-09T20:05:46Z,TRUE,27R
4063e6-VIR519-2021-03-09-0,2571,EGLL,EBMB,2021-03-09T11:05:06Z,2021-03-09T11:47:56Z,FALSE,NA
4063e6-VIR520-2021-03-09-0,2441,EBMB,EGLL,2021-03-09T13:40:49Z,2021-03-09T14:21:29Z,TRUE,27R
40649f-BAW9275-2021-03-09-0,746,EGLL,EGKR,2021-03-09T09:12:19Z,2021-03-09T09:24:44Z,FALSE,NA
406590-BAW269-2021-03-09-0,1880,EGLL,KLAX,2021-03-09T15:51:03Z,2021-03-09T16:59:59Z,FALSE,NA
406591-BAW138-2021-03-09-0,2147,VABB,EGLL,2021-03-09T03:32:09Z,2021-03-09T06:28:52Z,TRUE,27R
406591-BAW169-2021-03-09-0,1837,EGLL,NA,2021-03-09T14:06:46Z,2021-03-09T18:22:58Z,FALSE,NA
406832-VIR411Y-2021-03-09-0,1753,EGLL,NA,2021-03-09T22:33:09Z,2021-03-09T23:59:59Z,FALSE,NA
