,callsign,stop,ILS_max
0,MSR777,2020-05-06 11:59:39+00:00,09L
1,ETH700,2020-05-06 07:03:35+00:00,09L
2,QTR8856,2020-05-06 06:26:33+00:00,09L
3,QTR8866,2020-05-06 20:24:49+00:00,09L
4,QTR3EM,2020-05-06 11:23:33+00:00,09L
5,QTR8328,2020-05-06 11:38:13+00:00,09L
6,QTR8293,2020-05-06 14:33:27+00:00,09L
7,IBE31GB,2020-05-06 16:55:23+00:00,09L
8,BCS6773,2020-05-06 19:11:14+00:00,09L
9,BCS35P,2020-05-06 19:21:06+00:00,09L
10,BCS13G,2020-05-06 07:36:39+00:00,09L
11,BCS6788,2020-05-06 12:55:42+00:00,09L
12,EWG6GC,2020-05-06 10:13:29+00:00,09L
13,DLH5AF,2020-05-06 07:17:46+00:00,09L
14,DLH8HR,2020-05-06 13:12:54+00:00,09L
15,BAW9115,2020-05-06 18:37:20+00:00,09L
16,BAW172,2020-05-06 06:54:23+00:00,09L
17,BAW14K,2020-05-06 06:58:22+00:00,09L
18,BAW431,2020-05-06 10:38:31+00:00,09L
19,BAW32,2020-05-06 03:32:22+00:00,09L
20,BAW28,2020-05-06 04:08:20+00:00,09L
21,BAW160,2020-05-06 17:50:07+00:00,09L
22,BAW88,2020-05-06 13:49:01+00:00,09L
23,BAW168,2020-05-06 15:11:41+00:00,09L
24,BAW98,2020-05-06 08:31:29+00:00,09L
25,BAW641,2020-05-06 17:52:30+00:00,09L
26,BAW56,2020-05-06 17:55:15+00:00,09L
27,BAW45B,2020-05-06 05:37:32+00:00,09L
28,BAW6W,2020-05-06 05:40:15+00:00,09L
29,BAW192,2020-05-06 10:44:54+00:00,09L
30,BAW18,2020-05-06 12:52:14+00:00,09L
31,BAW3587,2020-05-06 09:29:24+00:00,09L
32,VIR604L,2020-05-06 07:40:01+00:00,09L
33,VIR251,2020-05-06 14:40:48+00:00,09L
34,BAW284,2020-05-06 09:19:59+00:00,09L
35,BAW226,2020-05-06 09:43:01+00:00,09L
36,BAW282,2020-05-06 08:46:20+00:00,09L
37,BAW208,2020-05-06 08:37:58+00:00,09L
38,VIR207,2020-05-06 03:48:34+00:00,09L
39,BAW20R,2020-05-06 07:29:01+00:00,09L
40,BAW309,2020-05-06 11:03:32+00:00,09L
41,SHT9B,2020-05-06 11:26:34+00:00,09L
42,BAW493U,2020-05-06 18:02:43+00:00,09L
43,VIR688,2020-05-06 06:21:31+00:00,09L
44,VIR686Q,2020-05-06 08:06:06+00:00,09L
45,BAW164,2020-05-06 18:20:01+00:00,09L
46,BAW479,2020-05-06 12:11:52+00:00,09L
47,AFL2580,2020-05-06 07:10:10+00:00,09L
48,SHE32G,2020-05-06 06:03:09+00:00,09L
49,SHE32G,2020-05-06 20:05:23+00:00,09L
50,LZB851,2020-05-06 15:14:36+00:00,09L
51,FIN3ML,2020-05-06 07:43:56+00:00,09L
52,AEE6006,2020-05-06 10:08:22+00:00,09L
53,KLM1007,2020-05-06 08:20:35+00:00,09L
54,SWR46V,2020-05-06 12:30:34+00:00,09L
55,THY6139,2020-05-06 08:23:45+00:00,09L
56,THY6133,2020-05-06 14:52:10+00:00,09L
57,AZA20Y,2020-05-06 17:36:42+00:00,09L
58,EIN7EG,2020-05-06 16:03:00+00:00,09L
59,EIN9RV,2020-05-06 09:00:06+00:00,09L
60,AZA202,2020-05-06 09:40:24+00:00,09L
61,EIN154,2020-05-06 07:20:50+00:00,09L
62,EIN17J,2020-05-06 18:05:21+00:00,09L
63,AZA97U,2020-05-06 14:36:05+00:00,09L
64,ICE450,2020-05-06 11:41:03+00:00,09L
65,MLT963,2020-05-06 14:23:41+00:00,09L
66,UZB3555,2020-05-06 05:32:33+00:00,09L
67,AHY4107,2020-05-06 11:51:53+00:00,09L
68,KAC1413,2020-05-06 09:06:55+00:00,09L
69,SVA115,2020-05-06 15:09:15+00:00,09L
70,KAL8503,2020-05-06 12:08:59+00:00,09L
71,KAL907,2020-05-06 16:26:39+00:00,09L
72,ELY215,2020-05-06 12:02:54+00:00,09L
73,ISR997,2020-05-06 18:40:41+00:00,09L
74,RJA5111,2020-05-06 17:14:10+00:00,09L
75,PIA785,2020-05-06 15:02:47+00:00,09L
76,SIA322,2020-05-06 04:48:35+00:00,09L
77,CCA577,2020-05-06 14:20:48+00:00,09L
78,CCA937,2020-05-06 16:22:59+00:00,09L
79,CCA855,2020-05-06 18:55:14+00:00,09L
80,CCA787,2020-05-06 10:20:45+00:00,09L
81,CSN303,2020-05-06 13:42:49+00:00,09L
82,CCA639,2020-05-06 17:32:08+00:00,09L
83,CES551,2020-05-06 17:11:26+00:00,09L
84,CBJ141,2020-05-06 17:16:59+00:00,09L
85,CHH421,2020-05-06 18:51:58+00:00,09L
86,JAL43,2020-05-06 14:12:11+00:00,09L
87,GFA007,2020-05-06 05:34:58+00:00,09L
88,UAE9943,2020-05-06 13:25:40+00:00,09L
89,UAE29,2020-05-06 12:43:17+00:00,09L
90,ETD59V,2020-05-06 10:29:55+00:00,09L
91,EVA069,2020-05-06 18:44:47+00:00,09L
92,UAL2784,2020-05-06 05:57:58+00:00,09L
93,UAL931,2020-05-06 07:13:11+00:00,09L
94,UAL14,2020-05-06 06:13:07+00:00,09L
95,AAL50,2020-05-06 05:26:19+00:00,09L
96,AAL38,2020-05-06 07:23:15+00:00,09L
97,ACA848,2020-05-06 07:26:15+00:00,09L
