UID,N,ADEP,ADES,START,STOP,ARR,RWY
06a13d-QTR3AU-2021-03-18-0,2193,OTHH,EHAM,2021-03-18T08:20:35Z,2021-03-18T11:46:50Z,TRUE,06
06a13d-QTR5JH-2021-03-18-0,1808,EHAM,OTHH,2021-03-18T14:14:00Z,2021-03-18T17:25:11Z,FALSE,NA
06a2e1-QTR8102-2021-03-18-0,2145,KORD,EHAM,2021-03-18T14:45:43Z,2021-03-18T16:13:35Z,TRUE,06
06a2e1-QTR8102-2021-03-18-1,1791,EHAM,OTHH,2021-03-18T18:24:10Z,2021-03-18T21:35:53Z,FALSE,NA
3453cc-AEA1091-2021-03-18-0,2372,LEMD,EHAM,2021-03-18T06:55:58Z,2021-03-18T09:07:27Z,TRUE,06
3453cc-AEA28RW-2021-03-18-0,1684,EHAM,LEMD,2021-03-18T10:19:08Z,2021-03-18T12:05:35Z,FALSE,NA
3946e2-AFR124K-2021-03-18-0,2531,LFPG,EHAM,2021-03-18T06:38:42Z,2021-03-18T07:26:44Z,TRUE,06
3946e2-AFR12QN-2021-03-18-0,1890,EHAM,LFPG,2021-03-18T08:50:52Z,2021-03-18T09:33:27Z,FALSE,NA
3946e9-AFR17RR-2021-03-18-0,1895,EHAM,LFPG,2021-03-18T14:01:11Z,2021-03-18T14:39:53Z,FALSE,NA
3946e9-AFR17XC-2021-03-18-0,2559,LFPG,EHAM,2021-03-18T11:53:06Z,2021-03-18T12:41:50Z,TRUE,06
3946ea-AFR14AR-2021-03-18-0,2699,LFPG,EHAM,2021-03-18T17:29:41Z,2021-03-18T18:20:44Z,TRUE,06
3946ea-AFR14JV-2021-03-18-0,1968,EHAM,LFPG,2021-03-18T19:31:00Z,2021-03-18T20:10:18Z,FALSE,NA
39c8a9-ASJ870-2021-03-18-0,2448,LFPB,EHAM,2021-03-18T15:26:15Z,2021-03-18T16:13:58Z,TRUE,36R
39c8a9-ASJ870-2021-03-18-1,1694,EHAM,LFPB,2021-03-18T16:48:35Z,2021-03-18T17:25:23Z,FALSE,NA
