,callsign,stop,ILS_max
0,MSR757,2020-05-09 09:02:27+00:00,06
1,QTR983U,2020-05-09 15:57:04+00:00,06
2,QTR3AU,2020-05-09 11:28:39+00:00,06
3,QTR8101,2020-05-09 16:53:45+00:00,06
4,AFR17TP,2020-05-09 11:38:28+00:00,06
5,BCS6730,2020-05-09 09:22:37+00:00,06
6,BCS21G,2020-05-09 03:25:08+00:00,06
7,DLH2KH,2020-05-09 13:16:30+00:00,06
8,DLH3MM,2020-05-09 07:24:04+00:00,06
9,SCR187,2020-05-09 14:58:31+00:00,06
10,SYG2,2020-05-09 16:01:49+00:00,06
11,ABW453,2020-05-09 11:49:11+00:00,06
12,ABW623,2020-05-09 15:14:22+00:00,06
13,ABW407,2020-05-09 15:06:29+00:00,06
14,LZB461,2020-05-09 06:57:16+00:00,06
15,KLM894,2020-05-09 16:16:55+00:00,06
16,KLM898,2020-05-09 01:55:03+00:00,06
17,MPH7342,2020-05-09 13:34:52+00:00,06
18,MPH8342,2020-05-09 04:40:18+00:00,06
19,KLM1008,2020-05-09 10:30:56+00:00,06
20,KLM602,2020-05-09 06:02:06+00:00,06
21,KLM808,2020-05-09 16:15:06+00:00,06
22,KLM1074,2020-05-09 11:05:45+00:00,06
23,KLM20M,2020-05-09 11:51:43+00:00,06
24,KLM90Z,2020-05-09 13:51:56+00:00,06
25,KLM792,2020-05-09 04:49:39+00:00,06
26,KLM38P,2020-05-09 10:47:35+00:00,06
27,KLM862,2020-05-09 01:25:40+00:00,06
28,KLM885,2020-05-09 04:32:54+00:00,06
29,KLM868,2020-05-09 03:44:01+00:00,06
30,KLM896,2020-05-09 02:08:46+00:00,06
31,KLM592,2020-05-09 05:36:46+00:00,06
32,KLM54R,2020-05-09 11:41:27+00:00,06
33,KLM1602,2020-05-09 12:32:36+00:00,06
34,KLM946,2020-05-09 11:34:59+00:00,06
35,KLM40Z,2020-05-09 10:49:26+00:00,06
36,KLM86E,2020-05-09 11:03:33+00:00,06
37,KLM758,2020-05-09 04:38:45+00:00,06
38,KLM26Q,2020-05-09 09:18:16+00:00,06
39,KLM94F,2020-05-09 11:10:03+00:00,06
40,KLM36X,2020-05-09 11:31:04+00:00,06
41,KLM1856,2020-05-09 10:45:08+00:00,06
42,KLM1766,2020-05-09 10:50:51+00:00,06
43,KLM1870,2020-05-09 10:33:20+00:00,06
44,KLM96T,2020-05-09 10:26:48+00:00,06
45,KLM88B,2020-05-09 11:24:06+00:00,06
46,KLM32S,2020-05-09 10:28:38+00:00,06
47,KLM78M,2020-05-09 11:26:58+00:00,06
48,KLM1278,2020-05-09 11:22:21+00:00,06
49,KLM646,2020-05-09 05:17:13+00:00,06
50,KLM168,2020-05-09 04:36:29+00:00,06
51,KLM48,2020-05-09 04:25:15+00:00,06
52,NJE387A,2020-05-09 08:26:38+00:00,06
53,NJE783M,2020-05-09 15:20:44+00:00,06
54,THY6125,2020-05-09 11:53:21+00:00,06
55,RYR19CT,2020-05-09 15:48:16+00:00,06
56,EIN60A,2020-05-09 07:04:31+00:00,06
57,AMC4394,2020-05-09 10:38:46+00:00,06
58,LWG102,2020-05-09 10:20:06+00:00,06
59,TEU11,2020-05-09 11:36:39+00:00,06
60,BRU867,2020-05-09 08:55:40+00:00,06
61,SIA7393,2020-05-09 21:47:04+00:00,06
62,CSN453,2020-05-09 05:59:30+00:00,06
63,CSN457,2020-05-09 08:43:17+00:00,06
64,CSN5237,2020-05-09 08:04:22+00:00,06
65,CKK205,2020-05-09 14:15:07+00:00,06
66,CPA064,2020-05-09 18:11:45+00:00,06
67,CAO1033,2020-05-09 05:43:10+00:00,06
68,CXA811,2020-05-09 03:42:31+00:00,06
69,CSN345,2020-05-09 09:19:47+00:00,06
70,CHH739,2020-05-09 17:36:24+00:00,06
71,CES7151,2020-05-09 09:27:37+00:00,06
72,NCA008,2020-05-09 01:43:53+00:00,06
73,UAE147,2020-05-09 10:07:00+00:00,06
74,UAE9989,2020-05-09 08:34:09+00:00,06
75,ETD913,2020-05-09 05:14:28+00:00,06
76,EVA077,2020-05-09 17:40:08+00:00,06
77,CAL073,2020-05-09 05:21:36+00:00,06
78,UAL70,2020-05-09 04:51:56+00:00,06
79,DAL134,2020-05-09 05:25:47+00:00,06
80,UAL2768,2020-05-09 09:15:58+00:00,06
81,LCO1505,2020-05-09 12:53:21+00:00,06
82,AAL9441,2020-05-09 05:55:56+00:00,06
83,DAL72,2020-05-09 05:39:06+00:00,06
84,TAM9518,2020-05-09 20:46:09+00:00,06
