UID,N,ADEP,ADES,START,STOP,ARR,RWY
00b290-OPM002-2020-03-10-0,2171,EGLF,LSZH,2020-03-10T09:48:57Z,2020-03-10T10:57:35Z,TRUE,14
06a0e8-QTR3ML-2020-03-10-0,2671,OTHH,LSZH,2020-03-10T08:04:42Z,2020-03-10T11:03:56Z,TRUE,14
06a0e8-QTR3TJ-2020-03-10-0,2408,LSZH,OTHH,2020-03-10T14:59:01Z,2020-03-10T17:46:32Z,FALSE,NA
06a0eb-QTR1PJ-2020-03-10-0,2923,OTHH,LSZH,2020-03-10T02:09:16Z,2020-03-10T05:06:52Z,TRUE,34
06a0eb-QTR8TL-2020-03-10-0,2541,LSZH,OTHH,2020-03-10T07:11:16Z,2020-03-10T10:06:31Z,FALSE,NA
3007a6-ITOPF-2020-03-10-0,2432,LIML,LSZH,2020-03-10T10:42:58Z,2020-03-10T11:23:29Z,TRUE,14
3007a6-ITOPF-2020-03-10-1,2026,LSZH,LEIB,2020-03-10T13:10:02Z,2020-03-10T14:39:19Z,FALSE,NA
342108-IBE3474-2020-03-10-0,2404,LEMD,LSZH,2020-03-10T15:12:39Z,2020-03-10T17:03:26Z,TRUE,14
342108-IBE3477-2020-03-10-0,2617,LSZH,LEMD,2020-03-10T10:55:41Z,2020-03-10T12:50:45Z,FALSE,NA
342108-IBE34HR-2020-03-10-0,1922,LSZH,LEMD,2020-03-10T18:05:09Z,2020-03-10T19:49:01Z,FALSE,NA
342108-IBE34SF-2020-03-10-0,2990,LEMD,LSZH,2020-03-10T08:02:08Z,2020-03-10T10:03:28Z,TRUE,14
343543-AEA67TT-2020-03-10-0,2815,LEMD,LSZH,2020-03-10T07:34:22Z,2020-03-10T09:35:15Z,TRUE,14
343543-AEA82NI-2020-03-10-0,2097,LSZH,LEMD,2020-03-10T10:38:30Z,2020-03-10T12:26:41Z,FALSE,NA
34508b-IBE3475-2020-03-10-0,1852,LSZH,LEMD,2020-03-10T06:36:38Z,2020-03-10T08:19:49Z,FALSE,NA
3451d3-VLG58QZ-2020-03-10-0,1788,LSZH,LEBL,2020-03-10T08:55:12Z,2020-03-10T10:05:55Z,FALSE,NA
3451d3-VLG6246-2020-03-10-0,2763,LEBL,LSZH,2020-03-10T06:25:53Z,2020-03-10T08:03:59Z,TRUE,14
345692-IBE3476-2020-03-10-0,2362,LEMD,LSZH,2020-03-10T19:20:56Z,2020-03-10T21:05:57Z,TRUE,28
346082-AEA1671-2020-03-10-0,2424,LEMD,LSZH,2020-03-10T14:11:23Z,2020-03-10T16:00:29Z,TRUE,14
346082-AEA86PM-2020-03-10-0,2183,LSZH,LEMD,2020-03-10T17:37:36Z,2020-03-10T19:27:53Z,FALSE,NA
346187-GES441S-2020-03-10-0,2180,EGKB,LSZH,2020-03-10T06:37:35Z,2020-03-10T07:45:11Z,TRUE,14
393269-ASJ437-2020-03-10-0,2413,LFPB,LSZH,2020-03-10T12:42:37Z,2020-03-10T13:39:59Z,TRUE,14
393269-ASJ437-2020-03-10-1,3152,LSZH,LFPB,2020-03-10T14:49:35Z,2020-03-10T16:02:40Z,FALSE,NA
3950c5-AFR161N-2020-03-10-0,2336,LSZH,LFPG,2020-03-10T14:24:41Z,2020-03-10T15:20:54Z,FALSE,NA
3950c5-AFR67FP-2020-03-10-0,2298,LFPG,LSZH,2020-03-10T12:23:21Z,2020-03-10T13:16:28Z,TRUE,14
3950cf-AFR141W-2020-03-10-0,2269,LFPG,LSZH,2020-03-10T20:06:21Z,2020-03-10T20:56:36Z,TRUE,28
