,callsign,stop,ILS_max
0,QTR02M,2021-05-24 11:24:37+00:00,14
1,IBE34BZ,2021-05-24 16:18:50+00:00,14
2,AEA1671,2021-05-24 14:49:53+00:00,14
3,ANE80QY,2021-05-24 08:59:01+00:00,14
4,VLG73DW,2021-05-24 13:06:39+00:00,14
5,AHO825H,2021-05-24 10:21:05+00:00,14
6,EWG4FU,2021-05-24 16:10:25+00:00,14
7,DLH4JE,2021-05-24 16:46:38+00:00,14
8,DLH9PL,2021-05-24 10:16:39+00:00,14
9,DLH6EE,2021-05-24 06:29:14+00:00,34
10,DLH2RY,2021-05-24 11:51:33+00:00,14
11,AHO826T,2021-05-24 15:10:22+00:00,14
12,EWG14KD,2021-05-24 11:00:08+00:00,14
13,EFD6H,2021-05-24 14:22:58+00:00,16
14,DETRO,2021-05-24 17:23:54+00:00,14
15,AZE22KT,2021-05-24 12:36:08+00:00,14
16,DIBET,2021-05-24 10:31:41+00:00,14
17,DICMK,2021-05-24 16:00:06+00:00,14
18,DIGER,2021-05-24 08:27:35+00:00,14
19,DIXXX,2021-05-24 15:16:29+00:00,14
20,LXG22H,2021-05-24 10:55:55+00:00,14
21,MSSYS,2021-05-24 17:59:31+00:00,28
22,AUA5BL,2021-05-24 17:18:39+00:00,14
23,OEFAF,2021-05-24 11:49:19+00:00,14
24,EJU18YE,2021-05-24 18:26:53+00:00,28
25,FTY8,2021-05-24 15:55:12+00:00,14
26,AUA5MJ,2021-05-24 06:57:05+00:00,34
27,GAC262Y,2021-05-24 14:17:13+00:00,14
28,GAC579W,2021-05-24 17:10:28+00:00,14
29,GAC139D,2021-05-24 11:11:15+00:00,14
30,AOJ78P,2021-05-24 17:42:54+00:00,28
31,MMD8011,2021-05-24 11:54:04+00:00,14
32,FIN5DL,2021-05-24 16:25:06+00:00,14
33,KLM71Q,2021-05-24 20:05:05+00:00,28
34,KLM21W,2021-05-24 14:43:05+00:00,14
35,KLM57C,2021-05-24 08:52:14+00:00,14
36,LOT419,2021-05-24 16:48:23+00:00,14
37,LOT411,2021-05-24 07:58:05+00:00,14
38,NJE683M,2021-05-24 16:14:57+00:00,14
39,NJE547E,2021-05-24 12:34:12+00:00,14
40,VVV121,2021-05-24 12:21:18+00:00,14
41,NJE494G,2021-05-24 17:21:57+00:00,14
42,NJE739H,2021-05-24 06:36:32+00:00,34
43,NJE031C,2021-05-24 14:51:16+00:00,14
44,NJE431P,2021-05-24 15:53:33+00:00,14
45,NJE089K,2021-05-24 19:56:47+00:00,28
46,NJE038U,2021-05-24 12:37:56+00:00,14
47,NJE977Y,2021-05-24 16:59:09+00:00,14
48,TAP926,2021-05-24 14:58:47+00:00,14
49,QNR25A,2021-05-24 17:15:51+00:00,14
50,TOY246,2021-05-24 14:15:14+00:00,14
51,SWR157W,2021-05-24 14:12:19+00:00,14
52,SWR165V,2021-05-24 19:52:34+00:00,28
53,SWR1675,2021-05-24 13:46:50+00:00,14
54,SWR1059,2021-05-24 20:01:03+00:00,28
55,HBDGE,2021-05-24 15:25:37+00:00,14
56,HBFYB,2021-05-24 15:14:37+00:00,14
57,CAZ401,2021-05-24 17:08:51+00:00,14
58,EDW218,2021-05-24 19:19:13+00:00,28
59,EDW345A,2021-05-24 20:02:31+00:00,28
60,EDW131G,2021-05-24 14:47:12+00:00,14
61,SWR170X,2021-05-24 19:45:05+00:00,28
62,SWR283W,2021-05-24 14:03:46+00:00,14
63,EDW382,2021-05-24 20:32:41+00:00,28
64,EDW403,2021-05-24 09:49:17+00:00,14
65,EDW380,2021-05-24 14:06:18+00:00,14
66,EDW337,2021-05-24 15:20:04+00:00,14
67,SWR211H,2021-05-24 20:37:41+00:00,28
68,SWR2155,2021-05-24 19:40:43+00:00,28
69,SWR22L,2021-05-24 13:58:02+00:00,14
70,SWR145W,2021-05-24 09:29:21+00:00,14
71,SWR19N,2021-05-24 14:48:28+00:00,14
72,SWR2291,2021-05-24 14:18:06+00:00,14
73,SWR43K,2021-05-24 18:57:14+00:00,28
74,SWR214C,2021-05-24 19:42:54+00:00,28
75,SWR59GW,2021-05-24 12:57:49+00:00,14
76,SWR1069,2021-05-24 08:47:17+00:00,14
77,SWR201G,2021-05-24 18:55:19+00:00,28
78,SWR201Z,2021-05-24 17:19:49+00:00,14
79,SWR72TL,2021-05-24 08:40:45+00:00,14
80,SWR103Q,2021-05-24 19:08:45+00:00,28
81,SWR1725,2021-05-24 14:41:33+00:00,14
82,SWR150Y,2021-05-24 19:36:40+00:00,28
83,SWR2549,2021-05-24 14:28:37+00:00,14
84,SWR63D,2021-05-24 08:49:47+00:00,14
85,SWR274R,2021-05-24 14:54:08+00:00,14
86,SWR88U,2021-05-24 13:49:31+00:00,14
87,SWR154F,2021-05-24 20:44:33+00:00,28
88,SWR96C,2021-05-24 14:39:47+00:00,14
89,SWR142R,2021-05-24 19:26:08+00:00,28
90,SWR51D,2021-05-24 09:31:45+00:00,14
91,SWR30K,2021-05-24 14:44:29+00:00,14
92,SWR78J,2021-05-24 19:16:05+00:00,28
93,SWR2067,2021-05-24 16:04:38+00:00,14
94,SWR414H,2021-05-24 17:49:29+00:00,28
95,SWR202Q,2021-05-24 16:56:30+00:00,14
96,SWR1419,2021-05-24 19:49:26+00:00,28
97,SWR254X,2021-05-24 15:21:43+00:00,14
98,SWR5201,2021-05-24 18:59:21+00:00,28
99,SWR145K,2021-05-24 16:55:00+00:00,14
100,SWR186R,2021-05-24 09:08:12+00:00,14
101,SWR218R,2021-05-24 17:40:20+00:00,28
102,SWR262D,2021-05-24 12:29:24+00:00,14
103,SWR219M,2021-05-24 14:10:46+00:00,14
104,SWR98R,2021-05-24 19:54:23+00:00,28
105,HBJED,2021-05-24 17:12:30+00:00,14
106,HBJFK,2021-05-24 19:04:40+00:00,28
107,SWR53T,2021-05-24 08:56:02+00:00,14
108,SWR87,2021-05-24 04:06:47+00:00,34
109,EDW45L,2021-05-24 20:36:03+00:00,28
110,EDW69A,2021-05-24 13:05:23+00:00,14
111,EDW23F,2021-05-24 15:03:36+00:00,14
112,EDW331,2021-05-24 15:29:13+00:00,14
113,SWR152A,2021-05-24 19:33:39+00:00,28
114,SWR547L,2021-05-24 14:27:04+00:00,14
115,SWR166N,2021-05-24 14:00:16+00:00,14
116,SWR191N,2021-05-24 19:38:40+00:00,28
117,SWR208N,2021-05-24 17:17:22+00:00,14
118,EDW267J,2021-05-24 20:40:01+00:00,28
119,SWR38W,2021-05-24 09:20:02+00:00,14
120,EDW25,2021-05-24 08:29:50+00:00,14
121,SWR19R,2021-05-24 09:24:23+00:00,14
122,SWR243,2021-05-24 04:16:36+00:00,34
123,SWR1327,2021-05-24 19:01:36+00:00,28
124,SWR257,2021-05-24 06:18:47+00:00,34
125,SWR139,2021-05-24 04:03:47+00:00,34
126,SWR181,2021-05-24 04:12:26+00:00,34
127,SWR93,2021-05-24 07:55:36+00:00,14
128,SWR189,2021-05-24 04:36:34+00:00,34
129,SWR15X,2021-05-24 08:00:57+00:00,14
130,GSW633,2021-05-24 15:12:11+00:00,14
131,GSW601,2021-05-24 08:36:43+00:00,14
132,GSW603,2021-05-24 19:23:57+00:00,28
133,SWR2027,2021-05-24 14:52:31+00:00,14
134,SWR5071,2021-05-24 19:59:09+00:00,28
135,SWR215T,2021-05-24 14:57:13+00:00,14
136,SWR69KC,2021-05-24 19:06:40+00:00,28
137,HBJSK,2021-05-24 14:14:04+00:00,14
138,CAZ601,2021-05-24 08:05:34+00:00,14
139,CAZ802,2021-05-24 20:07:25+00:00,28
140,SWR171V,2021-05-24 14:25:07+00:00,14
141,SAZ62,2021-05-24 15:18:08+00:00,14
142,HBLVC,2021-05-24 07:16:56+00:00,14
143,HBVRW,2021-05-24 18:21:26+00:00,28
144,HBVTB,2021-05-24 13:41:17+00:00,14
145,THY6FL,2021-05-24 07:59:23+00:00,14
146,THY1909,2021-05-24 16:08:38+00:00,14
147,PGT947,2021-05-24 09:03:28+00:00,14
148,ASL55G,2021-05-24 07:01:16+00:00,34
149,SAS601,2021-05-24 07:45:55+00:00,14
150,AZA572,2021-05-24 08:03:32+00:00,14
151,FYL21F,2021-05-24 10:18:53+00:00,14
152,MLM096,2021-05-24 09:17:10+00:00,14
153,VJT426,2021-05-24 14:55:47+00:00,14
154,VJT630,2021-05-24 20:54:19+00:00,28
155,AMC490,2021-05-24 14:45:57+00:00,14
156,PTA051P,2021-05-24 17:14:02+00:00,14
157,T7SKA,2021-05-24 20:13:43+00:00,28
158,CTN460,2021-05-24 08:34:26+00:00,14
159,SIA346,2021-05-24 06:16:43+00:00,34
160,GCR7959,2021-05-24 09:26:46+00:00,14
161,UAE87,2021-05-24 11:07:54+00:00,14
162,N101FU,2021-05-24 09:52:58+00:00,14
163,UAL52,2021-05-24 06:38:58+00:00,34
164,ACA7218,2021-05-24 10:02:14+00:00,14
